iter	R2	RMSE
0	0.03645414486	26.25395265
5	0.1749114417	24.29456706
10	0.2633106424	22.95624582
15	0.3212433373	22.03514561
20	0.3607981294	21.38343923
25	0.3884769747	20.91535776
30	0.412523792	20.49999855
35	0.4295945338	20.19996409
40	0.4426815859	19.96690133
45	0.4551145193	19.74292435
50	0.4652032593	19.55929298
55	0.4734867894	19.40722203
60	0.4811130918	19.26615652
65	0.4870803888	19.15506295
70	0.4935571736	19.03372531
75	0.4982433369	18.94545544
80	0.5033818179	18.84819497
85	0.5077193983	18.76571741
90	0.5114703517	18.69407788
95	0.5158354593	18.61037944
100	0.5196071358	18.53775303
105	0.523408729	18.46425671
110	0.5263463565	18.40726025
115	0.5304497714	18.32735653
120	0.5332884236	18.27186828
125	0.535622706	18.2261282
130	0.5384768893	18.17002718
135	0.5406514438	18.12715556
140	0.5438170918	18.06459803
145	0.5465428805	18.01055201
150	0.5488218087	17.96522835
155	0.5513493995	17.91483254
160	0.5540239985	17.861363
165	0.5558491061	17.82477769
170	0.5587006639	17.76746493
175	0.5609029185	17.7230724
180	0.5633099727	17.67442126
185	0.565561251	17.6288104
190	0.5672261736	17.59499974
195	0.5692633541	17.55354335
200	0.5715224305	17.50744052
205	0.5731419624	17.47432487
210	0.5750173805	17.43590269
215	0.5766892116	17.40157831
220	0.578155448	17.37140711
225	0.5797511856	17.33852263
230	0.5815873951	17.30060871
235	0.5829244975	17.27292915
240	0.5843966058	17.24242179
245	0.5858208138	17.21284676
250	0.5874663237	17.178623
255	0.5888766615	17.14924031
260	0.5904523508	17.11634548
265	0.5920020662	17.08393777
270	0.5932621447	17.05752668
275	0.5948702424	17.0237764
280	0.5962881607	16.9939631
285	0.5975830247	16.9666901
290	0.5987057384	16.94299526
295	0.5999432246	16.91684885
300	0.6014516104	16.88492566
305	0.602694797	16.85857673
310	0.6037838125	16.8354533
315	0.6050283819	16.80899354
320	0.6063616959	16.78058612
325	0.6075981476	16.75421568
330	0.6086233662	16.73232707
335	0.6098561878	16.70594798
340	0.6111590117	16.6780386
345	0.6123998141	16.65140101
350	0.6135708743	16.62622034
355	0.6144611277	16.60705791
360	0.6152359077	16.59036884
365	0.6165932118	16.56107813
370	0.6176673905	16.53786605
375	0.6188889158	16.51142832
380	0.6200663556	16.48589874
385	0.6209087244	16.46761154
390	0.6221399264	16.44084404
395	0.6231192395	16.41954054
400	0.6242340314	16.39522611
405	0.6253787912	16.37024265
410	0.6263617885	16.34875263
415	0.6273276208	16.32760301
420	0.6283394851	16.30542717
425	0.6291200876	16.28828588
430	0.6300243302	16.26842591
435	0.6309285964	16.24852474
440	0.6317020597	16.23148864
445	0.6326342298	16.21093046
450	0.6335698147	16.19027826
455	0.6345607833	16.16837726
460	0.6354812782	16.1480035
465	0.6361314362	16.13358607
470	0.6368702679	16.11718783
475	0.6377346023	16.09801187
480	0.6386701561	16.07720932
485	0.6393455185	16.06217829
490	0.6400639481	16.04617557
495	0.6406985235	16.03202135
500	0.6413486955	16.01751017
505	0.6422216133	15.99799846
510	0.6428558438	15.98381819
515	0.6436689517	15.9656126
520	0.6443541305	15.95025176
525	0.6451607259	15.93215656
530	0.6458799389	15.91600226
535	0.6469556925	15.89180504
540	0.6476434953	15.87632442
545	0.6485076838	15.85684344
550	0.6494124832	15.83641907
555	0.6500322128	15.82242231
560	0.6506324851	15.80883592
565	0.6513548056	15.79250024
570	0.6518695777	15.78083031
575	0.652428606	15.76814657
580	0.6532506984	15.74949124
585	0.6538985408	15.73476349
590	0.6546747045	15.71712047
595	0.6553386508	15.70199952
600	0.6559386009	15.6883324
605	0.6565710043	15.67390221
610	0.6570892054	15.66208156
615	0.6575762234	15.65095825
620	0.6581968942	15.63676577
625	0.6588604699	15.62157554
630	0.6593835085	15.60959867
635	0.6598607519	15.59865063
640	0.6603684266	15.58701132
645	0.6609064022	15.57466215
650	0.6613843474	15.56367736
655	0.6618448649	15.55310233
660	0.6623465372	15.54154969
665	0.6628993105	15.52882739
670	0.6636207541	15.51219319
675	0.6641468184	15.50006574
680	0.6648801115	15.48313308
685	0.6654526694	15.46989703
690	0.6660665883	15.45570145
695	0.6665813612	15.4437764
700	0.6671313671	15.43103923
705	0.6676737834	15.41845939
710	0.6681614294	15.40714912
715	0.6687181787	15.39421538
720	0.6691268717	15.38472237
725	0.6698124681	15.36876799
730	0.6702993473	15.35743841
735	0.6708246749	15.34519175
740	0.6713843728	15.33213959
745	0.6717824698	15.32284816
750	0.6722230241	15.31256432
755	0.6727170321	15.30103203
760	0.6732122341	15.28945261
765	0.673712002	15.27774838
770	0.6742596198	15.26491614
775	0.6747836335	15.25263498
780	0.6753096125	15.24029975
785	0.6758266043	15.22815809
790	0.6763914576	15.21488528
795	0.6768142685	15.20494115
800	0.6771750344	15.1964528
805	0.6776606679	15.18502212
810	0.6780774656	15.17520897
815	0.6785357651	15.1643943
820	0.6789311665	15.15506571
825	0.6793962233	15.14409643
830	0.6798352552	15.1337168
835	0.6803153724	15.12236094
840	0.6807625183	15.11178258
845	0.6811414694	15.10281254
850	0.6815943712	15.09208167
855	0.682045945	15.08138024
860	0.6824059291	15.07282986
865	0.6828369235	15.06260377
870	0.6832310997	15.05323981
875	0.683633769	15.04367405
880	0.6840285698	15.03428443
885	0.6845263575	15.02243693
890	0.684922473	15.01300435
895	0.685246618	15.00527485
900	0.6855714207	14.99752809
