iter	Passed	Remaining
0	75	188395
1	88	110207
2	100	83736
3	107	66797
4	118	58898
5	146	60769
6	154	55125
7	166	51774
8	179	49566
9	186	46451
10	208	47147
11	215	44650
12	228	43783
13	235	41880
14	248	41250
15	270	42066
16	281	41186
17	290	40064
18	300	39200
19	310	38474
20	335	39573
21	342	38575
22	355	38268
23	365	37736
24	374	37089
25	405	38585
26	414	37970
27	424	37514
28	437	37295
29	446	36747
30	472	37658
31	485	37419
32	497	37207
33	506	36754
34	519	36552
35	540	36973
36	553	36853
37	565	36612
38	572	36139
39	582	35834
40	608	36470
41	614	35941
42	627	35844
43	635	35474
44	648	35404
45	673	35950
46	682	35594
47	690	35293
48	703	35203
49	717	35136
50	747	35918
51	760	35794
52	768	35504
53	782	35450
54	788	35070
55	812	35446
56	826	35427
57	833	35110
58	846	35032
59	858	34918
60	880	35215
61	888	34950
62	904	34981
63	916	34878
64	927	34747
65	953	35163
66	961	34933
67	976	34919
68	989	34855
69	997	34615
70	1023	35025
71	1035	34903
72	1044	34737
73	1060	34751
74	1072	34677
75	1098	35024
76	1104	34754
77	1120	34781
78	1132	34700
79	1144	34626
80	1173	35033
81	1180	34798
82	1194	34771
83	1206	34706
84	1216	34550
85	1242	34878
86	1254	34792
87	1267	34730
88	1275	34554
89	1289	34525
90	1310	34690
91	1319	34529
92	1330	34440
93	1344	34402
94	1355	34324
95	1379	34543
96	1387	34383
97	1402	34370
98	1414	34299
99	1426	34237
100	1455	34579
101	1469	34554
102	1477	34386
103	1492	34376
104	1498	34183
105	1524	34432
106	1533	34291
107	1543	34191
108	1554	34100
109	1565	34013
110	1590	34221
111	1597	34061
112	1609	33992
113	1619	33898
114	1629	33799
115	1651	33933
116	1660	33828
117	1672	33764
118	1685	33731
119	1695	33630
120	1717	33765
121	1729	33701
122	1741	33646
123	1749	33517
124	1759	33435
125	1784	33620
126	1795	33549
127	1806	33468
128	1816	33385
129	1828	33330
130	1851	33483
131	1861	33389
132	1876	33391
133	1885	33287
134	1898	33257
135	1920	33379
136	1927	33249
137	1938	33186
138	1948	33097
139	1962	33081
140	1983	33179
141	1989	33040
142	2002	33009
143	2015	32981
144	2022	32851
145	2046	32995
146	2061	32995
147	2071	32920
148	2082	32853
149	2093	32798
150	2120	32982
151	2127	32868
152	2138	32804
153	2148	32730
154	2163	32725
155	2186	32851
156	2192	32716
157	2207	32715
158	2212	32577
159	2230	32615
160	2253	32743
161	2260	32626
162	2275	32622
163	2282	32504
164	2294	32474
165	2321	32641
166	2328	32523
167	2340	32494
168	2351	32428
169	2362	32384
170	2387	32515
171	2401	32502
172	2407	32388
173	2418	32333
174	2428	32259
175	2454	32404
176	2461	32308
177	2475	32292
178	2482	32193
179	2494	32149
180	2518	32271
181	2527	32190
182	2537	32126
183	2551	32118
184	2558	32012
185	2580	32105
186	2588	32011
187	2598	31957
188	2612	31949
189	2624	31906
190	2651	32057
191	2659	31971
192	2668	31899
193	2679	31851
194	2689	31792
195	2716	31936
196	2722	31832
197	2736	31816
198	2744	31730
199	2755	31682
200	2781	31809
201	2788	31722
202	2802	31709
203	2810	31636
204	2822	31594
205	2849	31730
206	2861	31696
207	2873	31659
208	2885	31631
209	2898	31602
210	2920	31679
211	2929	31611
212	2940	31576
213	2952	31539
214	2962	31485
215	2986	31578
216	2993	31494
217	3009	31498
218	3016	31416
219	3027	31372
220	3050	31460
221	3061	31419
222	3072	31373
223	3083	31330
224	3092	31270
225	3119	31390
226	3132	31365
